date,tempf
20120509,62.6
20120510,66.9
20120511,66.9
20120512,78.1
20120513,81
20120514,81
20120515,73.9
20120516,72
20120517,73
20120518,72
20120519,75.9
20120520,75.9
20120521,75.9
20120522,66
20120523,75.9
20120524,71.1
20120525,66.2
20120526,82
20120527,82
20120528,81
20120529,87.1
20120530,87.1
20120531,81
20120601,81
20120602,64.9
20120603,73.9
20120604,55.9
20120605,60.1
20120606,64.9
20120607,70
20120608,75
20120609,75.9
20120610,79
20120611,79
20120612,70
20120613,70
20120614,73
20120615,75
20120616,75
20120617,73
20120618,70
20120619,72
20120620,93.9
20120621,93.9
20120622,93
20120623,93.9
20120624,86
20120625,82.9
20120626,73.9
20120627,79
20120628,84
20120629,84
20120630,89.1
20120701,91
20120702,91
20120703,84.9
20120704,87.1
20120705,87.1
20120706,86
20120707,89.1
20120708,90
20120709,90
20120710,84
20120711,84.9
20120712,84.9
20120713,88
20120714,91.9
20120715,91.9
20120716,93
20120717,95
20120718,96.1
20120719,78.1
20120720,79
20120721,80.1
20120722,80.1
20120723,82.9
20120724,90
20120725,90
20120726,84.9
20120727,86
20120728,86
20120729,81
20120730,79
20120731,79
20120801,80.1
20120802,84.9
20120803,91
20120804,91
20120805,89.1
20120806,88
20120807,86
20120808,84
20120809,84
20120810,84
20120811,82.9
20120812,82.9
20120813,84.9
20120814,84.9
20120815,79
20120816,84
20120817,84.9
20120818,84.9
20120819,75.9
20120820,75.9
20120821,81
20120822,82
20120823,84
20120824,84.9
20120825,84.9
20120826,81
20120827,80.1
20120828,84.9
20120829,84.9
20120830,81
20120831,90
20120901,90
20120902,82
20120903,75.9
20120904,77
20120905,78.1
20120906,78.1
20120907,84
20120908,84
20120909,79
20120910,72
20120911,71.1
20120912,75
20120913,80.1
20120914,80.1
20120915,79
20120916,73.9
20120917,73.9
20120918,73.9
20120919,73.9
20120920,73
20120921,66.9
20120922,69.1
20120923,71.1
20120924,70
20120925,72
20120926,72
20120927,73.9
20120928,73.9
20120929,62.1
20120930,61
20121001,70
20121002,70
20121003,70
20121004,66.9
20121005,77
20121006,78.1
20121007,60.1
20121008,59
20121009,59
20121010,64
20121011,64
20121012,60.1
20121013,57.9
20121014,69.1
20121015,73
20121016,73
20121017,63
20121018,63
20121019,68
20121020,73.9
20121021,73.9
20121022,66
20121023,66.9
20121024,66.9
20121025,62.1
20121026,64.9
20121027,66.9
20121028,66.9
20121029,66.9
20121030,68
20121031,68
20121101,57
20121102,57
20121103,55
20121104,55.9
20121105,55.9
20121106,46
20121107,45
20121108,45
20121109,55
20121110,57
20121111,64
20121112,68
20121113,68
20121114,46.9
20121115,48
20121116,46.9
20121117,51.1
20121118,51.1
20121119,50
20121120,51.1
20121121,53.1
20121122,55
20121123,55
20121124,55
20121125,48.9
20121126,46.9
20121127,36
20121128,39.9
20121129,42.1
20121130,42.1
20121201,33.8
20121202,57
20121203,60
